"pid","grp","duration","entry","exit","num","ind"
1714,"vac",-2,105,198,6294,2
1714,"obs",-15,105,198,6294,2
1717,"wait",-74,110,211,6294,2
1717,"vac",-7,110,211,6294,2
1717,"obs",-15,110,211,6294,2
1719,"wait",-78,119,226,6294,2
1719,"vac",-9,119,226,6294,2
1719,"obs",-15,119,226,6294,2
1764,"wait",-80,121,225,6294,2
1764,"vac",-4,121,225,6294,2
1764,"obs",-15,121,225,6294,2
1769,"wait",-73,109,205,6294,2
1769,"vac",-3,109,205,6294,2
